symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
GORO,2016-12-31,False,FY,2016,10-K,83227000.0,8586000.0,4387000.0,0.08,0.08,0.0,118461000.0,29280000.0,8960000.0,14166000.0,107076000.0,17899000.0,-14693000.0,-1885000.0
AUMN,2016-12-31,False,FY,2016,10-K,6400000.0,-6321000.0,-10659000.0,-0.13,-0.13,0.0,14008000.0,4773000.0,1248000.0,2588000.0,8362000.0,-6205000.0,1117000.0,3599000.0
GTE,2016-12-31,False,FY,2016,10-K,289269000.0,,-465565000.0,-1.45,-1.45,0.0,1367896000.0,131685000.0,155029000.0,25175000.0,858987000.0,93042000.0,-620615000.0,407052000.0
OGEN,2016-12-31,False,FY,2016,10-K,0.0,-8542505.0,-7013304.0,-0.19,-0.19,0.0,4309166.0,4221704.0,1343443.0,4080618.0,2965723.0,-7075085.0,1675019.0,4451484.0
OCX,2016-12-31,False,FY,2016,10-K,,-11140000.0,-11168000.0,-0.42,-0.42,0.0,14447000.0,12696000.0,4275000.0,10174000.0,9862000.0,-7522000.0,-181000.0,9881000.0
TXMD,2016-12-31,False,FY,2016,10-K,19356450.0,-90253600.0,-89875459.0,-0.46,-0.46,0.0,142472020.0,139410173.0,14982599.0,131534101.0,127489421.0,-69142333.0,-1255456.0,137225535.0
TMP,2016-12-31,False,FY,2016,10-K,271547000.0,,58428000.0,3.94,3.91,1.77,6236756000.0,,,62074000.0,549405000.0,44396000.0,24000.0,-21781000.0
ACAD,2016-12-31,False,FY,2016,10-K,17331000.0,-272815000.0,-271393000.0,-2.34,-2.34,0.0,561153000.0,547897000.0,42585000.0,163620000.0,518411000.0,-210408000.0,-261924000.0,533812000.0
AXDX,2016-12-31,False,FY,2016,10-K,246000.0,-66501000.0,-66374000.0,-1.29,-1.29,0.0,82852000.0,78448000.0,4036000.0,19244000.0,77816000.0,-53408000.0,-49568000.0,1762000.0
ACOR,2016-12-31,False,FY,2016,10-K,519601000.0,-35982000.0,-34618000.0,-0.76,-0.76,0.0,1342335000.0,272657000.0,147901000.0,158537000.0,664211000.0,35347000.0,-73786000.0,45931000.0
