symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
SIF,2016-12-31,False,Q1,2017,10-Q,31473000.0,-1721000.0,-2609000.0,-0.48,-0.48,0.0,128140000.0,59228000.0,52513000.0,1019000.0,57111000.0,-788000.0,-409000.0,1741000.0
ARE,2016-12-31,False,FY,2016,10-K,921706000.0,,-151141000.0,-1.99,-1.99,3.23,10354888000.0,,,125032000.0,5370971000.0,392501000.0,-1496628000.0,1105521000.0
ABC,2016-12-31,False,Q1,2017,10-Q,38169265000.0,399987000.0,247246000.0,1.13,1.11,0.365,33919272000.0,23078756000.0,25542758000.0,1791134000.0,2116557000.0,-430355000.0,-156857000.0,-363486000.0
AVT,2016-12-31,False,Q2,2017,10-Q,4273559000.0,124230000.0,103218000.0,0.8,0.79,0.17,13255995000.0,11077099000.0,4809793000.0,1270142000.0,4711862000.0,240090000.0,-864117000.0,889698000.0
BAH,2016-12-31,False,Q3,2017,10-Q,1404638000.0,108124000.0,55590000.0,0.37,0.37,0.15,3166535000.0,1358783000.0,921022000.0,349624000.0,569713000.0,283042000.0,-30755000.0,-90192000.0
CCL,2016-11-30,False,FY,2016,10-K,16389000000.0,3071000000.0,2779000000.0,3.73,3.72,1.35,38936000000.0,1689000000.0,7072000000.0,603000000.0,22597000000.0,5134000000.0,-3323000000.0,-2591000000.0
LPG,2016-12-31,False,Q3,2017,10-Q,35734988.0,-3453959.0,5039624.0,0.09,0.09,0.0,1760213403.0,62880666.0,86101524.0,31839639.0,972899477.0,49204850.0,-1762861.0,-61699686.0
FICO,2016-12-31,False,Q1,2017,10-Q,219600000.0,34927000.0,37901000.0,1.22,1.16,0.0,1224398000.0,284744000.0,249715000.0,88101000.0,421906000.0,32978000.0,-4319000.0,-12995000.0
GFF,2016-12-31,False,Q1,2017,10-Q,467100000.0,26385000.0,12264000.0,0.31,0.29,0.06,1745189000.0,753686000.0,284579000.0,52269000.0,389021000.0,7554000.0,-28411000.0,2221000.0
FUL,2016-12-03,False,FY,2016,10-K,2094605000.0,202165000.0,124128000.0,2.48,2.42,0.55,2058254000.0,811253000.0,391844000.0,142245000.0,938269000.0,195688000.0,-111525000.0,-52590000.0
NOC,2016-12-31,False,FY,2016,10-K,24508000000.0,3193000000.0,2200000000.0,12.3,12.19,3.5,25614000000.0,6856000000.0,5630000000.0,2541000000.0,5259000000.0,2813000000.0,-805000000.0,-1786000000.0
PLT,2016-12-31,False,Q3,2017,10-Q,232933000.0,31858000.0,22221000.0,0.69,0.68,0.15,972741000.0,645626000.0,106737000.0,242461000.0,350120000.0,86700000.0,-26210000.0,-50331000.0
