symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
GRC,2016-12-31,False,FY,2016,10-K,382071000.0,35697000.0,24883000.0,0.95,0.95,0.43,382818000.0,203900000.0,49352000.0,57604000.0,302888000.0,53434000.0,-8466000.0,-11218000.0
IRT,2016-12-31,False,FY,2016,10-K,153388000.0,39662000.0,-9801000.0,-0.19,-0.19,0.0,1294237000.0,,,20892000.0,528691000.0,-7533000.0,27779000.0,-37655000.0
LBY,2016-12-31,False,FY,2016,10-K,796210000.0,45310000.0,10073000.0,0.46,0.46,0.46,818169000.0,332910000.0,156081000.0,61011000.0,145119000.0,82643000.0,-34604000.0,-34715000.0
MSTX,2016-12-31,False,FY,2016,10-K,128000.0,-36456000.0,-36100000.0,-0.17,-0.17,0.0,17922000.0,12185000.0,4866000.0,8542000.0,9759000.0,-37267000.0,15199000.0,7558000.0
STS,2016-12-31,False,FY,2016,10-K,298971665.0,28903522.0,19037338.0,1.12,1.11,0.0,133969284.0,88221351.0,30056157.0,35222620.0,101731349.0,29288085.0,-3661732.0,-7651624.0
TRXC,2016-12-31,False,FY,2016,10-K,1519000.0,-123649000.0,-119980000.0,-1.07,-1.07,0.0,176249000.0,38016000.0,30689000.0,24165000.0,117870000.0,-52386000.0,-1361000.0,49943000.0
URG,2016-12-31,False,FY,2016,10-K,27305000.0,271000.0,-3010000.0,-0.02,-0.02,0.0,89940000.0,6506000.0,8212000.0,1552000.0,36232000.0,3333000.0,-210000.0,-2986000.0
ACRX,2016-12-31,False,FY,2016,10-K,17357000.0,-31957000.0,-43157000.0,-0.95,-0.95,0.0,99993000.0,89053000.0,10191000.0,80310000.0,-5337000.0,-29395000.0,1809000.0,-26000.0
AKBA,2016-12-31,False,FY,2016,10-K,197289000.0,-136460000.0,-135747000.0,-3.6,-3.6,0.0,300216000.0,296321000.0,114268000.0,187335000.0,68120000.0,57906000.0,12705000.0,66946000.0
ALIM,2016-12-31,False,FY,2016,10-K,34333000.0,-27847000.0,-33174000.0,-0.63,-0.63,0.0,70229000.0,47402000.0,9123000.0,30979000.0,25586000.0,-25099000.0,-186000.0,25424000.0
ATAX,2016-12-31,False,FY,2016,10-K,58978750.0,23784507.0,23201100.0,0.34,0.34,0.0,944113674.0,,,20748521.0,,15231531.0,-83052386.0,71533594.0
FOLD,2016-12-31,True,FY,2016,10-K,4958000.0,-181890000.0,-200042000.0,-1.49,-1.49,0.0,1036845000.0,340064000.0,110959000.0,187026000.0,360151000.0,-150534000.0,-4509000.0,272715000.0
ASRV,2016-12-31,False,FY,2016,10-K,6169000.0,,2295000.0,0.12,0.12,0.05,1153780000.0,,,25107000.0,95395000.0,6668000.0,-25185000.0,4080000.0
ASNA,2017-01-28,False,Q2,2017,10-Q,1748200000.0,-44700000.0,-35200000.0,-0.18,-0.18,0.0,5359200000.0,1168400000.0,960000000.0,299500000.0,1859500000.0,215000000.0,-165600000.0,-121700000.0
AUBN,2016-12-31,False,FY,2016,10-K,6838000.0,,8150000.0,2.24,2.24,0.9,831943000.0,,,121277000.0,82177000.0,10487000.0,-12582000.0,9442000.0
BWINB,2016-12-31,False,FY,2016,10-K,318997000.0,,28945000.0,1.92,1.92,1.04,1154137000.0,,,62976000.0,404345000.0,32368000.0,-27362000.0,-15803000.0
BKMU,2016-12-31,False,FY,2016,10-K,109992000.0,,16954000.0,0.37,0.37,0.215,2648524000.0,,,31284000.0,286641000.0,27761000.0,-150173000.0,127998000.0
BKSC,2016-12-31,False,FY,2016,10-K,18156680.0,,5247063.0,1.06,1.04,0.54,413949636.0,,,8141030.0,40612974.0,6042824.0,-20591553.0,11596273.0
BDE,2016-12-31,False,FY,2016,10-K,148189000.0,-5970000.0,-8978000.0,-0.3,-0.3,0.0,210457000.0,166945000.0,40607000.0,94738000.0,160808000.0,4810000.0,6770000.0,-5222000.0
BBRG,2016-12-25,False,FY,2016,10-K,410254000.0,-15179000.0,-74715000.0,-5.09,-5.09,0.0,166762000.0,17283000.0,72817000.0,444000.0,-21530000.0,20350000.0,-15512000.0,-4841000.0
BRID,2017-01-20,False,Q1,2017,10-Q,40081000.0,,2474000.0,0.27,0.27,0.0,89363000.0,50058000.0,12982000.0,12497000.0,41383000.0,6585000.0,-1040000.0,-33000.0
BRCD,2017-01-28,False,Q1,2017,10-Q,581463000.0,4291000.0,-5681000.0,-0.01,-0.01,0.055,4880822000.0,1639006000.0,629488000.0,1230253000.0,2576027000.0,-2806000.0,-12091000.0,-10917000.0
CLMT,2016-12-31,False,FY,2016,10-K,59700000.0,-39700000.0,-328600000.0,-4.18,-4.18,0.0,2725200000.0,640900000.0,498200000.0,4200000.0,,4100000.0,-154200000.0,148700000.0
CACB,2016-12-31,False,FY,2016,10-K,124723000.0,,16771000.0,0.23,0.23,0.0,3079058000.0,,,72577000.0,369652000.0,27291000.0,-39241000.0,6722000.0
CASY,2017-01-31,False,Q3,2017,10-Q,1769993000.0,,22835000.0,0.58,0.58,0.24,2976379000.0,375702000.0,386756000.0,115721000.0,1215506000.0,316027000.0,-336258000.0,60177000.0
CBMX,2016-12-31,False,FY,2016,10-K,12869000.0,-4093000.0,-5783000.0,-2.34,-2.34,0.0,8478000.0,7851000.0,1789000.0,2727000.0,6494000.0,-3900000.0,2093000.0,3881000.0
CHUBA,2016-12-31,False,FY,2016,10-K,100552000.0,16692000.0,9096000.0,0.21,0.21,0.0,80020000.0,30440000.0,14726000.0,6471000.0,30578000.0,-48122000.0,26840000.0,8416000.0
CWBC,2016-12-31,False,FY,2016,10-K,5429000.0,,5229000.0,0.64,0.62,0.135,710572000.0,,,34116000.0,65336000.0,7870000.0,-93457000.0,84184000.0
CNCE,2016-12-31,False,FY,2016,10-K,174000.0,-51167000.0,-50720000.0,-2.28,-2.28,0.0,100395000.0,97729000.0,5570000.0,40555000.0,85594000.0,-45343000.0,-7213000.0,601000.0
CORT,2016-12-31,False,FY,2016,10-K,81321000.0,10179000.0,8140000.0,0.07,0.07,0.0,68753000.0,65689000.0,27374000.0,51536000.0,41379000.0,18391000.0,-194000.0,-7096000.0
CCRN,2016-12-31,False,FY,2016,10-K,833537000.0,6184000.0,7967000.0,0.25,0.15,0.0,388378000.0,205611000.0,97092000.0,20630000.0,151802000.0,30145000.0,-9780000.0,-2164000.0
DAKT,2017-01-28,False,Q3,2017,10-Q,115719000.0,-6934000.0,-5127000.0,-0.12,-0.12,0.07,348106000.0,251832000.0,120181000.0,48377000.0,199714000.0,45379000.0,-11421000.0,-13229000.0
CTSO,2016-12-31,False,FY,2016,10-K,9527843.0,-11492125.0,-11938875.0,-0.47,-0.47,0.0,9693844.0,7828424.0,6089618.0,5245178.0,-474088.0,-6730967.0,1596469.0,5064207.0
CYTK,2016-12-31,False,FY,2016,10-K,106407000.0,18687000.0,16453000.0,0.41,0.39,0.0,170142000.0,158633000.0,33258000.0,66874000.0,94361000.0,36982000.0,-52076000.0,16892000.0
EDIT,2016-12-31,False,FY,2016,10-K,26000000.0,-97188000.0,-97230000.0,-3.02,-3.02,0.0,229182000.0,187183000.0,33083000.0,185323000.0,134607000.0,-49926000.0,-5092000.0,97161000.0
EMCI,2016-12-31,False,FY,2016,10-K,644983000.0,,46203000.0,2.2,2.2,0.78,1588813000.0,,,307000.0,553342000.0,83434000.0,-77842000.0,-5509000.0
FRP,2016-12-31,False,FY,2016,10-K,824443000.0,229345000.0,104095000.0,3.88,3.84,0.0,1230835000.0,126715000.0,119450000.0,34924000.0,-54077000.0,134252000.0,-118460000.0,-7428000.0
FCBC,2016-12-31,False,FY,2016,10-K,121790000.0,,25126000.0,1.45,1.45,0.6,2386398000.0,,,36645000.0,339057000.0,43088000.0,110210000.0,-128778000.0
ASIX,2016-12-31,False,FY,2016,10-K,1191524000.0,,34147000.0,1.12,1.12,0.0,904957000.0,282538000.0,273978000.0,14199000.0,215362000.0,113740000.0,-86381000.0,-13160000.0
FMBH,2016-12-31,False,FY,2016,10-K,19541000.0,,21015000.0,2.07,2.05,0.62,2884535000.0,,,2382000.0,280673000.0,27422000.0,-78059000.0,110755000.0
AMRC,2016-12-31,False,FY,2016,10-K,651227000.0,23776000.0,11997000.0,0.26,0.26,0.0,797281000.0,226061000.0,190602000.0,20607000.0,294306000.0,-58073000.0,-79616000.0,137301000.0
AVD,2016-12-31,False,FY,2016,10-K,312113000.0,20540000.0,12788000.0,0.44,0.44,0.03,429956000.0,227075000.0,97074000.0,7869000.0,282357000.0,46406000.0,-14137000.0,-28545000.0
FVE,2016-12-31,False,FY,2016,10-K,1378108000.0,-15972000.0,-21813000.0,-0.45,-0.45,0.0,509734000.0,129387000.0,172993000.0,16608000.0,164266000.0,-23453000.0,77039000.0,-51646000.0
FLDM,2016-12-31,False,FY,2016,10-K,104446000.0,-73190000.0,-75985000.0,-2.62,-2.62,0.0,306395000.0,96671000.0,29500000.0,35045000.0,53233000.0,-39098000.0,45102000.0,76000.0
ABR,2016-12-31,False,FY,2016,10-K,85600000.0,43621132.0,42796132.0,0.83,0.83,0.0,2970786246.0,,,138645430.0,747037928.0,-197617076.0,-201917252.0,349471071.0
ACRE,2016-12-31,False,FY,2016,10-K,45107000.0,,40336000.0,1.42,1.41,1.04,1373703000.0,,,47270000.0,429673000.0,8538000.0,-43320000.0,73057000.0
FMI,2016-12-31,False,FY,2016,10-K,116865000.0,-113816000.0,-113192000.0,-3.25,-3.25,0.0,214035000.0,168921000.0,40651000.0,63617000.0,164846000.0,-67167000.0,12688000.0,333000.0
RAIL,2016-12-31,False,FY,2016,10-K,523731000.0,15848000.0,12324000.0,1.0,1.0,0.36,339255000.0,241170000.0,54135000.0,92750000.0,256914000.0,215000.0,14083000.0,-4616000.0
AFI,2016-12-31,False,FY,2016,10-K,1193200000.0,18900000.0,9200000.0,0.33,0.33,0.0,904400000.0,404900000.0,163400000.0,30600000.0,623500000.0,54000000.0,-36900000.0,14500000.0
GNVC,2016-12-31,False,FY,2016,10-K,511000.0,-7215000.0,-5787000.0,-2.78,-2.78,0.0,7707000.0,7458000.0,1847000.0,3667000.0,4705000.0,-5983000.0,-1858000.0,4493000.0
GSBC,2016-12-31,False,FY,2016,10-K,213685000.0,,45342000.0,3.26,3.21,0.0,4550663000.0,,,279769000.0,429806000.0,80055000.0,-198146000.0,198677000.0
HDNG,2016-12-31,False,FY,2016,10-K,292013000.0,3395000.0,1224000.0,0.1,0.09,0.08,297550000.0,200695000.0,72847000.0,28255000.0,155941000.0,5297000.0,-2361000.0,-6475000.0
HLIT,2016-12-31,False,FY,2016,10-K,405911000.0,-67036000.0,-72314000.0,-0.63,-0.63,0.0,554069000.0,216835000.0,144897000.0,55635000.0,270641000.0,438000.0,-70478000.0,-152000.0
HTBK,2016-12-31,False,FY,2016,10-K,106056000.0,,25869000.0,0.72,0.72,0.36,2570880000.0,,,266103000.0,259850000.0,25899000.0,-287564000.0,183676000.0
HEOP,2016-12-31,False,FY,2016,10-K,0.0,,16933000.0,0.49,0.49,0.24,2024890000.0,,,50874000.0,212850000.0,27624000.0,-160511000.0,113838000.0
HCCI,2016-12-31,False,FY,2016,10-K,347627000.0,10894000.0,5842000.0,0.26,0.26,0.0,314307000.0,108795000.0,54206000.0,36610000.0,198269000.0,38099000.0,-18901000.0,-6196000.0
HSKA,2016-12-31,False,FY,2016,10-K,130083000.0,16533000.0,10508000.0,1.55,1.43,0.0,130844000.0,55273000.0,32414000.0,10794000.0,86975000.0,5855000.0,-3302000.0,1403000.0
