symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
SHLM,2016-11-30,False,Q1,2017,10-Q,600000000.0,19097000.0,1068000.0,0.04,0.04,0.205,1741026000.0,743858000.0,465052000.0,39285000.0,150279000.0,26309000.0,-12585000.0,-8883000.0
ADXS,2016-10-31,False,FY,2016,10-K,3994856.0,-76492238.0,-73556230.0,-2.08,-2.08,0.0,169044060.0,159875198.0,27706389.0,112750980.0,119302194.0,-9070545.0,1556033.0,53703809.0
APOL,2016-11-30,False,Q1,2017,10-Q,484499000.0,8404000.0,4070000.0,0.04,0.04,0.0,1955243000.0,1081689000.0,681106000.0,517274000.0,1063152000.0,16454000.0,70858000.0,-33374000.0
ATU,2016-11-30,False,Q1,2017,10-Q,265793000.0,8471000.0,4965000.0,0.08,0.08,0.0,1421716000.0,548848000.0,247903000.0,176871000.0,510087000.0,12085000.0,-5009000.0,-4989000.0
AYI,2016-11-30,False,Q1,2017,10-Q,851200000.0,126600000.0,81700000.0,1.87,1.86,0.13,2963400000.0,1356200000.0,609800000.0,451200000.0,1730100000.0,38700000.0,-1100000.0,2600000.0
WMS,2016-06-30,False,Q1,2017,10-Q,357576000.0,35458000.0,15932000.0,0.29,0.29,0.06,1074628000.0,468513000.0,248260000.0,9168000.0,223806000.0,-132000.0,-12795000.0,16202000.0
WMS,2015-06-30,True,Q1,2015,10-Q,349124000.0,31173000.0,10348000.0,0.19,0.19,0.05,1116181000.0,512682000.0,225475000.0,4847000.0,193188000.0,-18142000.0,-15561000.0,34745000.0
WMS,2016-03-31,True,FY,2016,10-K,1290678000.0,94334000.0,21401000.0,0.4,0.39,0.2,1040447000.0,439562000.0,252184000.0,6555000.0,202489000.0,135342000.0,-49018000.0,-82964000.0
WMS,2015-09-30,True,Q2,2015,10-Q,383329000.0,35626000.0,10741000.0,0.2,0.19,0.05,1107745000.0,501969000.0,250902000.0,3481000.0,199744000.0,16924000.0,-25100000.0,7674000.0
WMS,2015-12-31,True,Q3,2016,10-Q,312827000.0,31233000.0,11431000.0,0.21,0.21,0.05,1003276000.0,404705000.0,232269000.0,6412000.0,208722000.0,129441000.0,-35403000.0,-89816000.0
CUDA,2016-11-30,False,Q3,2017,10-Q,88806000.0,5496000.0,1793000.0,0.03,0.03,0.0,453718000.0,283176000.0,287004000.0,121113000.0,-4957000.0,47711000.0,-40959000.0,-4118000.0
CMC,2016-11-30,False,Q1,2017,10-Q,1075063000.0,,6275000.0,0.05,0.05,0.12,3002580000.0,1912670000.0,740451000.0,465167000.0,1330092000.0,-954000.0,-25653000.0,-24030000.0
LMNR,2016-10-31,False,FY,2016,10-K,106130000.0,9188000.0,7430000.0,0.52,0.52,0.2,305448000.0,18499000.0,23751000.0,38000.0,126498000.0,14304000.0,-11522000.0,-2783000.0
FDS,2016-11-30,False,Q1,2017,10-Q,288063000.0,90319000.0,66583000.0,1.67,1.66,0.0,1046165000.0,324659000.0,136216000.0,173288000.0,496783000.0,51113000.0,-81425000.0,-17531000.0
MU,2016-12-01,False,Q1,2017,10-Q,3970000000.0,359000000.0,180000000.0,0.17,0.16,0.0,27836000000.0,9504000000.0,5546000000.0,4139000000.0,13168000000.0,1138000000.0,-890000000.0,-212000000.0
GPN,2016-11-30,False,Q2,2017,10-Q,941821000.0,105267000.0,49452000.0,0.32,0.32,0.0,10113114000.0,2574963000.0,2209855000.0,995816000.0,2801837000.0,193543000.0,-80811000.0,-130651000.0
JBL,2016-11-30,False,Q1,2017,10-Q,5104898000.0,165607000.0,88027000.0,0.48,0.47,0.08,10543846000.0,6083416000.0,5857097000.0,747415000.0,2391962000.0,151940000.0,-164427000.0,-148494000.0
LW,2016-11-27,False,Q2,2017,10-Q,790700000.0,125500000.0,87200000.0,0.59,0.59,0.0,2400200000.0,936000000.0,605100000.0,69400000.0,-758600000.0,162400000.0,-125800000.0,-2800000.0
MG,2016-11-30,False,Q2,2017,10-Q,176642000.0,12508000.0,7270000.0,0.25,0.24,0.0,492166000.0,200957000.0,84900000.0,26261000.0,278245000.0,25969000.0,-15042000.0,-4344000.0
NCS,2016-10-30,False,FY,2016,10-K,1684928000.0,108779000.0,50638000.0,0.7,0.7,0.0,1058296000.0,504856000.0,326534000.0,65403000.0,281317000.0,68768000.0,-9950000.0,-92752000.0
SIMU,2016-11-30,False,Q1,2017,10-Q,5417934.0,1928096.0,1361565.0,0.08,0.08,0.05,28503494.0,13611928.0,2243767.0,8844664.0,23354666.0,1942901.0,-293166.0,-835355.0
TSRI,2016-11-30,False,Q2,2017,10-Q,15042789.0,245356.0,126317.0,0.06,0.06,0.0,13831410.0,13713915.0,4123185.0,4697065.0,9708225.0,224517.0,14665.0,-56274.0
RPM,2016-11-30,False,Q2,2017,10-Q,1190770000.0,,-70926000.0,-0.54,-0.54,0.3,4547461000.0,2041105000.0,886613000.0,205907000.0,1283334000.0,158732000.0,-112848000.0,-98981000.0
VOXX,2016-11-30,False,Q3,2017,10-Q,198937000.0,7309000.0,5800000.0,0.24,0.24,0.0,694506000.0,298676000.0,145665000.0,5672000.0,393456000.0,-15132000.0,-8607000.0,17234000.0
WDFC,2016-11-30,False,Q1,2017,10-Q,89248000.0,16516000.0,11681000.0,0.82,0.82,0.42,333655000.0,194519000.0,64032000.0,33482000.0,128447000.0,13503000.0,-23890000.0,-5168000.0
