symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
ADGE,2016-12-31,False,FY,2016,10-K,6141749.0,-2439701.0,-758447.0,0.01,0.01,0.0,19105058.0,2636247.0,920507.0,338627.0,17334551.0,-1875915.0,-394677.0,-2390490.0
HRT,2016-12-31,False,FY,2016,10-K,19638217.0,-502831.0,-712462.0,-0.25,-0.25,0.0,13647421.0,6331436.0,4800663.0,380381.0,6286931.0,661247.0,-1367296.0,814139.0
INFU,2016-12-31,False,FY,2016,10-K,70497000.0,974000.0,-222000.0,-0.01,-0.01,0.0,96344000.0,20769000.0,16439000.0,3398000.0,50689000.0,7909000.0,-5344000.0,15000.0
ONP,2016-12-31,False,FY,2016,10-K,134744600.0,12951719.0,7312976.0,0.34,0.34,0.0,208377618.0,14477322.0,20585591.0,2332646.0,172755386.0,15277522.0,-11545029.0,-3681346.0
LOV,2016-12-31,False,FY,2016,10-K,35091000.0,-7889000.0,-6890000.0,-0.24,-0.24,0.0,31817000.0,13747000.0,7414000.0,11360000.0,22065000.0,-1411000.0,-2846000.0,9052000.0
TAT,2016-12-31,False,FY,2016,10-K,68595000.0,24000.0,-6243000.0,-0.51,-0.51,0.0,196393000.0,68086000.0,76100000.0,10034000.0,38486000.0,21573000.0,-8518000.0,-7351000.0
AIR,2017-02-28,False,Q3,2017,10-Q,446700000.0,,13700000.0,0.41,0.4,0.0,1502100000.0,893100000.0,342800000.0,10100000.0,885700000.0,-11200000.0,-12800000.0,3400000.0
AZO,2017-02-11,False,Q2,2017,10-Q,2289219000.0,383969000.0,237145000.0,8.29,8.08,0.0,8902630000.0,4492767000.0,4784272000.0,210649000.0,-1827440000.0,563898000.0,-202714000.0,-336568000.0
RATE,2016-12-31,False,FY,2016,10-K,434161000.0,-6017000.0,-34134000.0,-0.38,-0.38,0.0,1083860000.0,270932000.0,53845000.0,176680000.0,689378000.0,79756000.0,-76184000.0,-63999000.0
FDX,2017-02-28,False,Q3,2017,10-Q,14997000000.0,1025000000.0,561000000.0,2.11,2.07,0.4,46781000000.0,11938000000.0,7450000000.0,3173000000.0,15184000000.0,2645000000.0,-3667000000.0,731000000.0
GIS,2017-02-26,False,Q3,2017,10-Q,3793200000.0,542500000.0,357800000.0,0.62,0.61,0.48,21670300000.0,4128000000.0,5743500000.0,899100000.0,4403500000.0,1558700000.0,-424000000.0,-982800000.0
KDMN,2016-12-31,False,FY,2016,10-K,26055000.0,-115404000.0,-230488000.0,,-9.74,0.0,62556000.0,40287000.0,24746000.0,36093000.0,-25192000.0,-52950000.0,-539000.0,68084000.0
ABIO,2016-12-31,False,FY,2016,10-K,0.0,-16613000.0,-16444000.0,-1.81,-1.81,0.0,24629000.0,21445000.0,2396000.0,7401000.0,22194000.0,-14987000.0,-16414000.0,
ABUS,2016-12-31,False,FY,2016,10-K,1491000.0,-491639000.0,-384164000.0,-7.24,-7.24,0.0,275919000.0,132564000.0,10585000.0,23413000.0,203005000.0,-57885000.0,-99123000.0,12638000.0
ATOS,2016-09-30,True,Q3,2016,10-Q,,-1558435.0,204689.0,0.07,0.07,0.0,6278241.0,4563928.0,863767.0,4388177.0,5414474.0,-4018564.0,-5023.0,4695869.0
ATOS,2016-06-30,True,Q2,2016,10-Q,,-1722383.0,-1722383.0,-0.04,-0.04,0.0,3284619.0,1454995.0,874265.0,1190866.0,2410354.0,-4654062.0,-4941.0,2133974.0
ATOS,2016-12-31,True,FY,2016,10-K,,-7968590.0,-6368885.0,-2.16,-2.16,0.0,4144372.0,3254563.0,1047266.0,3027962.0,3097106.0,-5374589.0,-9213.0,4695869.0
ATOS,2016-03-31,True,Q1,2016,10-Q,,-2327540.0,-2327540.0,-0.07,-0.07,0.0,5100021.0,3385593.0,1326835.0,2882657.0,3773186.0,-2994755.0,-5020.0,2166537.0
ADSK,2017-01-31,False,FY,2017,10-K,2031000000.0,-499600000.0,-582100000.0,-2.61,-2.61,0.0,4798100000.0,2460600000.0,2185400000.0,1213100000.0,733600000.0,169700000.0,272000000.0,-578300000.0
AVEO,2016-12-31,False,FY,2016,10-K,2515000.0,-29393000.0,-26887000.0,-0.39,-0.39,0.0,27285000.0,26315000.0,10349000.0,15096000.0,-1923000.0,-31066000.0,-764000.0,20292000.0
AVID,2016-12-31,False,FY,2016,10-K,511930000.0,64015000.0,48219000.0,1.2,1.2,0.0,249581000.0,151005000.0,237936000.0,44948000.0,-269911000.0,-49195000.0,-15577000.0,91452000.0
BCTF,2016-12-31,False,FY,2016,10-K,11213261.0,,5295127.0,1.57,1.57,0.0,328867198.0,,,4766344.0,50776577.0,6920133.0,-62129562.0,51795909.0
BOTJ,2016-12-31,False,FY,2016,10-K,26363000.0,,3286000.0,0.75,0.75,0.24,574195000.0,,,28683000.0,49421000.0,2785000.0,-47209000.0,44452000.0
BGNE,2016-12-31,False,FY,2016,10-K,1070000.0,-117060000.0,-119217000.0,-0.3,-0.3,0.0,405813000.0,374399000.0,35058000.0,87514000.0,352907000.0,-89513000.0,-221848000.0,380902000.0
