symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
CCF,2016-11-30,False,Q1,2017,10-Q,60269000.0,13705000.0,10250000.0,1.11,1.1,0.7,265490000.0,117834000.0,27865000.0,49324000.0,175550000.0,8337000.0,-28033000.0,-3060000.0
APOG,2016-11-26,False,Q3,2017,10-Q,274072000.0,33259000.0,22552000.0,0.78,0.78,0.0,717245000.0,365491000.0,188394000.0,51599000.0,452177000.0,70481000.0,-59202000.0,-20488000.0
ANGO,2016-11-30,False,Q2,2017,10-Q,89029000.0,15588000.0,13734000.0,0.37,0.37,0.0,712170000.0,147802000.0,50752000.0,35664000.0,523349000.0,22387000.0,-1396000.0,-17402000.0
CTAS,2016-11-30,False,Q2,2017,10-Q,1296923000.0,202858000.0,140377000.0,1.32,1.29,1.33,4214579000.0,1600662000.0,748757000.0,143573000.0,2025705000.0,301721000.0,-92045000.0,-203072000.0
EMMS,2016-11-30,False,Q3,2017,10-Q,56299000.0,23835000.0,17676000.0,1.46,1.43,0.0,302067000.0,52077000.0,37519000.0,2057000.0,4658000.0,9702000.0,22377000.0,-34478000.0
HURC,2016-10-31,False,FY,2016,10-K,227289000.0,19616000.0,13216000.0,2.01,1.99,0.35,251949000.0,218381000.0,57968000.0,41217000.0,185475000.0,-6863000.0,-3913000.0,-2310000.0
LNDC,2016-11-27,False,Q2,2017,10-Q,135865000.0,3264000.0,1326000.0,0.05,0.05,0.0,341341000.0,84475000.0,46948000.0,2566000.0,219547000.0,5527000.0,-4724000.0,-8131000.0
