symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
BHB,2016-12-31,False,FY,2016,10-K,12349000.0,,14933000.0,2.47,2.45,1.09,1755349000.0,,,8439000.0,156740000.0,16791000.0,-181886000.0,163814000.0
MCF,2016-12-31,False,FY,2016,10-K,78183000.0,,-58029000.0,-2.71,-2.71,0.0,376514000.0,19054000.0,62889000.0,0.0,236405000.0,32011000.0,-19798000.0,-12213000.0
ESTE,2016-12-31,False,FY,2016,10-K,42269000.0,-46021000.0,-54541000.0,-2.92,-2.92,0.0,316512000.0,27342000.0,38829000.0,10200000.0,241457000.0,1712000.0,-59868000.0,45092000.0
EGAS,2016-12-31,False,FY,2016,10-K,99441000.0,3052000.0,513000.0,0.05,0.05,0.3,197424000.0,35811000.0,36485000.0,6463000.0,92957000.0,11365000.0,-6071000.0,-1547000.0
GIG,2016-12-31,False,FY,2016,10-K,58743000.0,3363000.0,2233000.0,0.04,0.04,0.0,140435000.0,65360000.0,16029000.0,35757000.0,110312000.0,3254000.0,-38541000.0,40679000.0
GV,2016-12-31,False,FY,2016,10-K,130423463.0,21406770.0,12999749.0,0.52,0.52,0.0,91302157.0,51428881.0,18435557.0,20599648.0,48250562.0,18057251.0,-4669739.0,-4162102.0
HUSA,2016-12-31,False,FY,2016,10-K,165910.0,-2648831.0,-2641625.0,-0.05,-0.05,0.0,2945016.0,484922.0,61127.0,481172.0,2856445.0,-1297153.0,-209222.0,-135973.0
IFMI,2016-12-31,False,FY,2016,10-K,55348000.0,8586000.0,2267000.0,0.19,0.19,0.08,561271000.0,,,15216000.0,46762000.0,-8731000.0,7951000.0,2268000.0
ISDR,2016-12-31,False,FY,2016,10-K,12058866.0,1935313.0,1555208.0,0.55,0.54,0.0,12860804.0,6827260.0,2104420.0,5338978.0,10577898.0,2761326.0,-1189626.0,-417730.0
LTS,2016-12-31,False,FY,2016,10-K,1106953000.0,-12070000.0,-52707000.0,-0.29,-0.29,0.0,546003000.0,,,98930000.0,362501000.0,14246000.0,-11229000.0,-22764000.0
TIS,2016-12-31,False,FY,2016,10-K,164494000.0,18686000.0,12811000.0,1.25,1.24,1.4,319880000.0,47137000.0,20142000.0,8750000.0,133245000.0,27827000.0,-77679000.0,54241000.0
PIP,2016-12-31,False,FY,2016,10-K,5230196.0,-11264347.0,193854173.0,2.97,2.95,0.0,224739223.0,222269826.0,204837543.0,153994922.0,19459091.0,201508238.0,-66877586.0,3800831.0
REI,2016-12-31,False,FY,2016,10-K,30850248.0,-57032761.0,-37637687.0,-0.97,-0.97,0.0,307597399.0,75220915.0,9099391.0,71086381.0,290540973.0,11214397.0,-38339845.0,93780479.0
SVT,2016-12-31,False,FY,2016,10-K,38587000.0,,1753000.0,0.79,0.76,0.0,36281000.0,25968000.0,4999000.0,3515000.0,27117000.0,2441000.0,-991000.0,-1203000.0
TPHS,2016-12-31,False,FY,2016,10-K,1856000.0,-7178000.0,-7436000.0,-0.29,-0.29,0.0,85601000.0,,,4678000.0,28025000.0,-14842000.0,-26214000.0,7561000.0
AA,2016-12-31,False,FY,2016,10-K,9318000000.0,,-400000000.0,-2.19,-2.19,0.0,16741000000.0,3181000000.0,2821000000.0,853000000.0,7697000000.0,-311000000.0,1077000000.0,-483000000.0
AXR,2017-01-31,False,Q3,2017,10-Q,9777000.0,,174000.0,0.02,0.02,0.0,109539000.0,,,10753000.0,83902000.0,7607000.0,-63000.0,-11353000.0
ARCX,2016-12-31,False,FY,2016,10-K,105381000.0,21988000.0,21908000.0,2.5999999999999996,2.5999999999999996,0.0,648413000.0,16619000.0,13182000.0,4584000.0,,55635000.0,-32348000.0,-24573000.0
AC,2016-12-31,False,FY,2016,10-K,31227000.0,-12232000.0,10218000.0,0.41,0.41,0.2,952603000.0,,,314093000.0,874022000.0,6588000.0,-4115000.0,105872000.0
BCEI,2016-12-31,False,FY,2016,10-K,195295000.0,-129110000.0,-198950000.0,-4.04,-4.04,0.0,1134478000.0,112428000.0,1070466000.0,80565000.0,19061000.0,14563000.0,-67401000.0,112062000.0
BBW,2016-12-31,False,FY,2016,10-K,357593000.0,,1348000.0,0.09,0.09,0.0,199595000.0,110044000.0,82857000.0,32483000.0,99112000.0,16014000.0,-26657000.0,-1948000.0
CHMI,2016-12-31,False,FY,2016,10-K,5017000.0,,24832000.0,3.31,3.3,2.11,792878000.0,,,15824000.0,156009000.0,34457000.0,-146094000.0,116858000.0
CIT,2016-12-31,False,FY,2016,10-K,3093700000.0,,-848000000.0,-4.2,-4.2,0.6,64170200000.0,,,6375200000.0,10003100000.0,2366900000.0,-498900000.0,-2928800000.0
CIE,2016-12-31,False,FY,2016,10-K,16805000.0,-2262420000.0,-2343309000.0,-5.69,-5.69,0.0,2230478000.0,1147191000.0,533954000.0,613534000.0,-841334000.0,-165665000.0,152830000.0,490000000.0
CELP,2016-12-31,False,FY,2016,10-K,297997000.0,-1764000.0,-9162000.0,0.14,0.13,0.0,167512000.0,66217000.0,11924000.0,26693000.0,,24819000.0,-1330000.0,-21289000.0
DX,2016-12-31,False,FY,2016,10-K,,,33914000.0,0.69,0.69,0.0,3397731000.0,,,74120000.0,467184000.0,210514000.0,67968000.0,-238297000.0
ELF,2016-12-31,False,FY,2016,10-K,229567000.0,23079000.0,5313000.0,-39.47,-39.47,1.79,414729000.0,124904000.0,80270000.0,15295000.0,140862000.0,2120000.0,-9139000.0,8310000.0
EVRI,2016-12-31,False,FY,2016,10-K,859456000.0,-118555000.0,-249479000.0,-3.78,-3.78,0.0,1408163000.0,341639000.0,343514000.0,119051000.0,-107793000.0,131711000.0,-88054000.0,-24922000.0
FAC,2016-12-31,False,FY,2016,10-K,389623000.0,,-29282000.0,-0.71,-0.71,0.0,400074000.0,,,3457000.0,72488000.0,-13628000.0,16654000.0,68000.0
FCF,2016-12-31,False,FY,2016,10-K,282213000.0,,59590000.0,0.67,0.67,0.28,6684018000.0,,,91033000.0,749929000.0,89273000.0,493774000.0,-536822000.0
GCAP,2016-12-31,False,FY,2016,10-K,64000.0,57663000.0,35272000.0,0.67,0.67,0.0,1430084000.0,,,234760000.0,294182000.0,124839000.0,-31327000.0,-21175000.0
GKOS,2016-12-31,False,FY,2016,10-K,114397000.0,4241000.0,4522000.0,0.14,0.12,0.0,134371000.0,120023000.0,16938000.0,6494000.0,117274000.0,12309000.0,-26116000.0,-1642000.0
HRI,2016-12-31,False,FY,2016,10-K,1554800000.0,,-19700000.0,-0.7,-0.7,0.0,3463300000.0,371700000.0,242900000.0,11600000.0,317700000.0,433400000.0,-398400000.0,-38700000.0
HRTG,2016-12-31,False,FY,2016,10-K,438958000.0,56765000.0,33865000.0,1.14,1.14,0.23,1033244000.0,,,105817000.0,357959000.0,75130000.0,-249416000.0,43826000.0
JMP,2016-12-31,False,FY,2016,10-K,134977000.0,,2926000.0,0.14,0.13,0.04,1125830000.0,,,85492000.0,135294000.0,8878000.0,145160000.0,-137097000.0
KAI,2016-12-31,False,FY,2016,10-K,414126000.0,45573000.0,32077000.0,2.95,2.88,0.76,470691000.0,207350000.0,88913000.0,71487000.0,284279000.0,51003000.0,-61993000.0,22666000.0
MMI,2016-12-31,False,FY,2016,10-K,717450000.0,106501000.0,64657000.0,1.66,1.66,0.0,394016000.0,234012000.0,78176000.0,187371000.0,258854000.0,74486000.0,19819000.0,-3119000.0
MCS,2016-12-29,False,FY,2016,10-K,543864000.0,69954000.0,37902000.0,2.69,2.63,0.41,911266000.0,36143000.0,130673000.0,3239000.0,391647000.0,82655000.0,-128587000.0,42499000.0
