symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
ELMD,2016-12-31,False,Q2,2017,10-Q,6372243.0,729459.0,443861.0,0.05,0.05,0.0,20705952.0,16106000.0,2356834.0,4821504.0,17228262.0,38712.0,-311635.0,-28928.0
EPM,2016-12-31,False,Q2,2017,10-Q,8529817.0,3675381.0,2307634.0,0.07,0.07,0.0,87087102.0,22876334.0,4271286.0,19156377.0,68586678.0,5852265.0,-8327195.0,-12445753.0
PZG,2016-12-31,False,Q2,2017,10-Q,40599.0,-1867372.0,-1824892.0,0.12,0.12,0.0,51016688.0,2247589.0,632716.0,1813694.0,49360159.0,-3060777.0,-999787.0,
RLGT,2016-12-31,False,Q2,2017,10-Q,198881000.0,4425000.0,2099000.0,0.04,0.04,0.0,270870000.0,124716000.0,105893000.0,8263000.0,123512000.0,12736000.0,-2232000.0,-6960000.0
ADNT,2016-12-31,False,Q1,2017,10-Q,4038000000.0,,149000000.0,1.59,1.59,0.0,11257000000.0,3990000000.0,3830000000.0,709000000.0,3391000000.0,-13000000.0,-203000000.0,833000000.0
ACM,2016-12-31,False,Q1,2017,10-Q,4358349000.0,143393000.0,47179000.0,0.31,0.3,0.0,13508996000.0,5985101000.0,5165328000.0,697717000.0,3559887000.0,77507000.0,-38860000.0,-26369000.0
ARW,2016-12-31,False,FY,2016,10-K,23825261000.0,858539000.0,522750000.0,5.75,5.68,0.0,14206366000.0,10316721000.0,6689222000.0,534320000.0,4465620000.0,355806000.0,-241446000.0,166064000.0
ATKR,2016-12-30,False,Q1,2017,10-Q,337591000.0,42524000.0,17382000.0,0.28,0.26,0.0,1019236000.0,447892000.0,177128000.0,87973000.0,280455000.0,32169000.0,-926000.0,-142414000.0
AN,2016-12-31,False,FY,2016,10-K,21609000000.0,889500000.0,430500000.0,4.18,4.15,0.0,10060000000.0,4714800000.0,5829200000.0,64800000.0,2310300000.0,516000000.0,-489700000.0,-35600000.0
ATO,2016-12-31,False,Q1,2017,10-Q,780168000.0,209918000.0,125032000.0,1.08,1.08,0.45,10579155000.0,979432000.0,1949815000.0,44624000.0,3698975000.0,116963000.0,-392137000.0,272264000.0
BHI,2016-12-31,False,FY,2016,10-K,9841000000.0,-1623000000.0,-2738000000.0,-6.31,-6.31,0.68,19034000000.0,9167000000.0,2304000000.0,4572000000.0,12737000000.0,4229000000.0,203000000.0,-2185000000.0
BA,2016-12-31,False,FY,2016,10-K,94571000000.0,5834000000.0,4895000000.0,7.7,7.61,4.69,89997000000.0,62488000000.0,50134000000.0,8801000000.0,877000000.0,10499000000.0,-3380000000.0,-9587000000.0
BERY,2016-12-31,False,Q1,2017,10-Q,1502000000.0,146000000.0,51000000.0,0.42,0.4,0.0,7511000000.0,1743000000.0,980000000.0,331000000.0,246000000.0,143000000.0,-64000000.0,-65000000.0
BR,2016-12-31,False,Q2,2017,10-Q,892600000.0,58800000.0,30100000.0,0.25,0.25,0.33,2967300000.0,899400000.0,638200000.0,235700000.0,985800000.0,-5500000.0,-553400000.0,70200000.0
BRT,2016-12-31,False,Q1,2017,10-Q,25640000.0,-2737000.0,15770000.0,1.13,1.13,0.0,849074000.0,,,51231000.0,219621000.0,7808000.0,104518000.0,-88494000.0
CBT,2016-12-31,False,Q1,2017,10-Q,611000000.0,82000000.0,54000000.0,0.85,0.85,0.3,2929000000.0,1001000000.0,397000000.0,189000000.0,1277000000.0,102000000.0,-23000000.0,-27000000.0
CAH,2016-12-31,False,Q2,2017,10-Q,33150000000.0,542000000.0,324000000.0,1.02,,0.4489,35021000000.0,23153000000.0,21014000000.0,1881000000.0,6341000000.0,658000000.0,-237000000.0,-886000000.0
CMG,2016-12-31,False,FY,2016,10-K,3904384000.0,34567000.0,22938000.0,0.78,0.77,0.0,2026103000.0,522374000.0,281793000.0,87880000.0,1402493000.0,349242000.0,326806000.0,-836283000.0
CMS,2016-12-31,False,FY,2016,10-K,6399000000.0,1297000000.0,551000000.0,1.99,1.98,1.24,21622000000.0,2280000000.0,2655000000.0,235000000.0,4290000000.0,1629000000.0,-1915000000.0,255000000.0
CNXC,2016-12-31,False,FY,2016,10-K,281117000.0,,21856000.0,0.84,0.83,0.0,504296000.0,48721000.0,64781000.0,9785000.0,,73098000.0,-34181000.0,-35666000.0
COH,2016-12-31,False,Q2,2017,10-Q,1321700000.0,277400000.0,199700000.0,0.71,0.71,0.3375,4678700000.0,2765700000.0,715200000.0,1309700000.0,2811100000.0,328100000.0,599800000.0,-467000000.0
CDE,2016-12-31,False,FY,2016,10-K,665777000.0,,55352000.0,0.35,0.34,0.0,1318909000.0,410787000.0,116634000.0,162182000.0,768487000.0,125817000.0,-83443000.0,-80228000.0
CNX,2016-12-31,False,FY,2016,10-K,2026375000.0,,-848102000.0,-3.7,-3.7,0.01,9183981000.0,626139000.0,940014000.0,60475000.0,3940888000.0,469285000.0,487371000.0,-968755000.0
TCS,2016-12-31,False,Q3,2016,10-Q,216380000.0,12561000.0,5092000.0,0.11,0.11,0.0,780114000.0,181978000.0,123155000.0,18491000.0,211367000.0,23875000.0,-21003000.0,7361000.0
CSRA,2016-12-30,False,Q3,2017,10-Q,1222000000.0,151000000.0,126000000.0,0.77,0.76,0.1,4886000000.0,1013000000.0,1022000000.0,162000000.0,330000000.0,438000000.0,-118000000.0,-288000000.0
CSS,2016-12-31,False,Q3,2017,10-Q,117153000.0,,29969000.0,3.3,3.29,0.2,361361000.0,253002000.0,48735000.0,30069000.0,300444000.0,-25602000.0,41135000.0,-5579000.0
EMR,2016-12-31,False,Q1,2017,10-Q,3216000000.0,,309000000.0,0.48,0.48,0.48,17471000000.0,8877000000.0,4146000000.0,4151000000.0,7754000000.0,238000000.0,3758000000.0,-2920000000.0
EPC,2016-12-31,False,Q1,2017,10-Q,485000000.0,,33500000.0,0.58,0.58,0.0,4455200000.0,1137600000.0,473300000.0,418500000.0,1778000000.0,-59000000.0,-47700000.0,-199400000.0
ESE,2016-12-31,False,Q1,2017,10-Q,146368000.0,,10727000.0,0.42,0.41,0.0,1069496000.0,332716000.0,149391000.0,51755000.0,620637000.0,15736000.0,-83422000.0,67809000.0
FN,2016-12-30,False,Q2,2017,10-Q,351156000.0,25395000.0,25292000.0,0.69,0.67,0.0,945919000.0,718400000.0,283057000.0,85619000.0,619665000.0,19752000.0,-84102000.0,10692000.0
FTK,2016-12-31,False,FY,2016,10-K,262832000.0,-7304000.0,-49130000.0,-0.88,-0.88,0.0,386588000.0,188670000.0,91054000.0,4823000.0,287701000.0,2054000.0,-22281000.0,22851000.0
GM,2016-12-31,False,FY,2016,10-K,156849000000.0,9545000000.0,9427000000.0,6.12,6.0,1.52,221690000000.0,76203000000.0,85181000000.0,12960000000.0,44075000000.0,16545000000.0,-35643000000.0,17139000000.0
GHM,2016-03-31,True,FY,2016,10-K,90039000.0,,6131000.0,0.61,0.61,0.33,143131000.0,102730000.0,27923000.0,24072000.0,109380000.0,18751000.0,-9150000.0,-12693000.0
GPK,2016-12-31,False,FY,2016,10-K,4298100000.0,396000000.0,228000000.0,0.71,0.71,0.0,4603400000.0,1114900000.0,779800000.0,59100000.0,1056500000.0,641400000.0,-632500000.0,-3100000.0
