symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
LDOS,2016-12-30,False,FY,2016,10-K,7043000000.0,417000000.0,244000000.0,2.39,2.35,1.28,9132000000.0,2381000000.0,2016000000.0,376000000.0,3147000000.0,446000000.0,26000000.0,-751000000.0
LVLT,2016-12-31,False,FY,2016,10-K,8172000000.0,1444000000.0,677000000.0,1.89,1.87,0.0,24888000000.0,2653000000.0,1471000000.0,1819000000.0,10917000000.0,2343000000.0,-1319000000.0,-56000000.0
LNC,2016-12-31,False,FY,2016,10-K,13330000000.0,,1192000000.0,5.09,5.03,1.04,261627000000.0,,,2722000000.0,14478000000.0,1272000000.0,-3666000000.0,1970000000.0
LYV,2016-12-31,False,FY,2016,10-K,8354934000.0,194940000.0,-47010000.0,-0.23,-0.23,0.0,6764266000.0,2673551000.0,2460344000.0,1526591000.0,1349516000.0,597490000.0,-426477000.0,99212000.0
AEIS,2016-12-31,False,FY,2016,10-K,483704000.0,126857000.0,127454000.0,3.21,3.18,0.0,571529000.0,438334000.0,95046000.0,281953000.0,392074000.0,119287000.0,300000.0,2142000.0
ADTN,2016-12-31,False,FY,2016,10-K,636781000.0,34735000.0,35229000.0,0.72,0.72,0.0,667235000.0,352902000.0,126535000.0,79895000.0,479517000.0,42000000.0,-6481000.0,-39781000.0
ALDR,2016-12-31,False,FY,2016,10-K,113000.0,-157858000.0,-156254000.0,-3.23,-3.23,0.0,409154000.0,393183000.0,25890000.0,116216000.0,382783000.0,-159687000.0,-67720000.0,137110000.0
LKSD,2016-12-31,False,FY,2016,10-K,3654000000.0,175000000.0,106000000.0,3.25,3.23,0.0,1952000000.0,976000000.0,583000000.0,95000000.0,240000000.0,231000000.0,-41000000.0,-187000000.0
MAC,2016-12-31,False,FY,2016,10-K,1041271000.0,,516995000.0,3.52,3.52,2.75,9958148000.0,,,94046000.0,4427168000.0,417506000.0,443113000.0,-853083000.0
MFS,2016-12-31,False,FY,2016,10-K,1456600000.0,199200000.0,79500000.0,0.58,0.57,0.0,1769100000.0,308200000.0,313100000.0,53800000.0,-43500000.0,122000000.0,-20400000.0,-78900000.0
MRO,2016-12-31,False,FY,2016,10-K,4031000000.0,-900000000.0,-2140000000.0,-2.61,-2.61,0.2,31094000000.0,3665000000.0,2240000000.0,2490000000.0,17541000000.0,1073000000.0,-874000000.0,1074000000.0
MPC,2016-12-31,False,FY,2016,10-K,5007000000.0,2378000000.0,1173000000.0,2.22,2.21,1.36,44413000000.0,10401000000.0,7146000000.0,887000000.0,20203000000.0,3986000000.0,-2941000000.0,-1285000000.0
ALGT,2016-12-31,False,FY,2016,10-K,1362831000.0,370558000.0,219590000.0,13.23,13.21,2.4,1671576000.0,422054000.0,392898000.0,64711000.0,473622000.0,346861000.0,-401837000.0,32575000.0
AHGP,2016-12-31,False,FY,2016,10-K,1931023000.0,362954000.0,185934000.0,3.11,3.11,0.0,2197687000.0,281259000.0,327291000.0,44525000.0,,700725000.0,-191788000.0,-503090000.0
ARLP,2016-12-31,False,FY,2016,10-K,1931453000.0,365942000.0,339398000.0,3.39,3.39,0.0,2193042000.0,276672000.0,326871000.0,39782000.0,,703544000.0,-191788000.0,-505405000.0
AMCX,2016-12-31,False,FY,2016,10-K,2755654000.0,657556000.0,270510000.0,3.77,3.74,0.0,4480595000.0,1696343000.0,954178000.0,481389000.0,-1644000.0,514325000.0,-174574000.0,-153864000.0
AMRB,2016-12-31,False,FY,2016,10-K,2045000.0,,6404000.0,0.95,0.94,0.0,651450000.0,,,27589000.0,83850000.0,9865000.0,-17218000.0,11215000.0
ARII,2016-12-31,False,FY,2016,10-K,639133000.0,130109000.0,72663000.0,3.74,3.74,1.6,1456250000.0,332411000.0,92853000.0,178571000.0,550270000.0,180503000.0,-114738000.0,-185206000.0
VAC,2016-12-30,False,FY,2016,10-K,1811235000.0,,137348000.0,4.93,4.83,1.25,2391419000.0,,,147102000.0,907819000.0,140172000.0,39021000.0,-204952000.0
MMC,2016-12-31,False,FY,2016,10-K,13211000000.0,2664000000.0,1768000000.0,3.41,3.38,0.0,18190000000.0,4884000000.0,4082000000.0,1026000000.0,6272000000.0,2007000000.0,-1056000000.0,-1067000000.0
MKL,2016-12-31,False,FY,2016,10-K,5612026000.0,803916000.0,455689000.0,31.41,31.27,0.0,25875299000.0,,,1738747000.0,8467411000.0,534623000.0,-1545111000.0,152019000.0
MTZ,2016-12-31,False,FY,2016,10-K,5134703000.0,,131263000.0,1.63,1.61,0.0,3183132000.0,1402486000.0,839990000.0,38767000.0,1103634000.0,205593000.0,-141021000.0,-29486000.0
MLM,2016-12-31,False,FY,2016,10-K,3818749000.0,667321000.0,425386000.0,6.66,6.63,1.64,7300905000.0,1086385000.0,546588000.0,50038000.0,4142590000.0,678654000.0,-555313000.0,-241712000.0
MLP,2016-12-31,False,FY,2016,10-K,47364000.0,23470000.0,21814000.0,1.15,1.15,0.0,38883000.0,2754000.0,2398000.0,602000.0,17742000.0,33877000.0,-331000.0,-34031000.0
