symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
EVBN,2016-12-31,False,FY,2016,10-K,51207000.0,,8272000.0,1.93,1.9,0.76,1100709000.0,,,12503000.0,96748000.0,11540000.0,-172845000.0,151768000.0
MSTX,2016-12-31,False,FY,2016,10-K,128000.0,-36456000.0,-36100000.0,-0.17,-0.17,0.0,17922000.0,12185000.0,4866000.0,8542000.0,9759000.0,-37267000.0,15199000.0,7558000.0
PARR,2016-12-31,False,FY,2016,10-K,1865045000.0,-16494000.0,-45835000.0,-1.08,-1.08,0.0,1145433000.0,403108000.0,382765000.0,47772000.0,368909000.0,-23891000.0,-286243000.0,190118000.0
TRXC,2016-12-31,False,FY,2016,10-K,1519000.0,-123649000.0,-119980000.0,-1.07,-1.07,0.0,176249000.0,38016000.0,30689000.0,24165000.0,117870000.0,-52386000.0,-1361000.0,49943000.0
AVAV,2017-01-28,False,Q3,2017,10-Q,53163000.0,-1425000.0,-2183000.0,-0.09,-0.09,0.0,387456000.0,308948000.0,37968000.0,73278000.0,347246000.0,-14424000.0,-36949000.0,364000.0
AKBA,2016-12-31,False,FY,2016,10-K,197289000.0,-136460000.0,-135747000.0,-3.6,-3.6,0.0,300216000.0,296321000.0,114268000.0,187335000.0,68120000.0,57906000.0,12705000.0,66946000.0
ASNA,2017-01-28,False,Q2,2017,10-Q,1748200000.0,-44700000.0,-35200000.0,-0.18,-0.18,0.0,5359200000.0,1168400000.0,960000000.0,299500000.0,1859500000.0,215000000.0,-165600000.0,-121700000.0
AXSM,2016-12-31,False,FY,2016,10-K,,-27543508.0,-27201653.0,-1.42,-1.42,0.0,38212608.0,37999057.0,7170712.0,36618497.0,21571451.0,-21281304.0,-104561.0,9968102.0
BWINB,2016-12-31,False,FY,2016,10-K,318997000.0,,28945000.0,1.92,1.92,1.04,1154137000.0,,,62976000.0,404345000.0,32368000.0,-27362000.0,-15803000.0
BANF,2016-12-31,False,FY,2016,10-K,28338000.0,,70674000.0,4.53,4.44,1.48,7018952000.0,,,183921000.0,711094000.0,90541000.0,-98017000.0,259760000.0
