symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
AUXO,2016-12-31,False,FY,2016,10-K,60200383.0,27247.0,5009801.0,0.61,0.6,0.0,26465797.0,17230788.0,11400728.0,6090844.0,14115425.0,417626.0,-205121.0,-558393.0
BKJ,2016-12-31,False,FY,2016,10-K,31901000.0,,4001000.0,0.64,0.64,0.18,822440000.0,,,76976000.0,77144000.0,6386000.0,-18929000.0,15330000.0
IDN,2016-12-31,False,FY,2016,10-K,3838963.0,-5749611.0,-5734681.0,-0.58,-0.58,0.0,14533525.0,3830318.0,1359635.0,3092172.0,12935451.0,-4240418.0,-28488.0,1407821.0
LGL,2016-12-31,False,FY,2016,10-K,20891000.0,-161000.0,148000.0,0.06,0.06,0.0,16646000.0,12890000.0,2755000.0,2778000.0,13891000.0,278000.0,-3045000.0,-8000.0
LIQT,2016-12-31,False,FY,2016,10-K,13906394.0,-13134804.0,-16418634.0,-0.45,-0.45,0.0,11412328.0,8506321.0,5008743.0,1208650.0,6269748.0,415794.0,-373740.0,-202619.0
MPO,2016-12-31,False,FY,2016,10-K,,,,,,0.0,760939000.0,123889000.0,56252000.0,76838000.0,561814000.0,23644000.0,-23346000.0,
TEUM,2016-12-31,False,FY,2016,10-K,12855811.0,-18902681.0,-31444704.0,-4.67,-4.67,0.0,13045289.0,3194871.0,13292992.0,931189.0,-9364531.0,-3657831.0,1036840.0,3162370.0
PW,2016-12-31,False,FY,2016,10-K,1975921.0,,-32687.0,-0.02,-0.02,0.0,21214931.0,,,717104.0,7282965.0,884170.0,,-602936.0
TGC,2016-12-31,False,FY,2016,10-K,4672000.0,-4098000.0,-4199000.0,-0.69,-0.69,0.0,8538000.0,1614000.0,791000.0,76000.0,3278000.0,-1012000.0,-401000.0,1449000.0
WYY,2016-12-31,False,FY,2016,10-K,78420864.0,-4163254.0,-4133912.0,-0.05,-0.05,0.0,47227668.0,22989678.0,18004828.0,9123498.0,28276651.0,2711640.0,-606446.0,-881735.0
XTNT,2016-12-31,False,FY,2016,10-K,90002736.0,-7545264.0,-19493552.0,-1.54,-1.54,0.0,144101605.0,48986211.0,31121316.0,2578267.0,-7073297.0,-14407296.0,-5816290.0,16433837.0
ACCP,2016-12-31,False,FY,2016,10-K,889000.0,-23881000.0,-21873000.0,-0.64,-0.64,0.0,111058000.0,69421000.0,8296000.0,69142000.0,99098000.0,-13014000.0,-519000.0,42537000.0
