symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
ALXN,2016-09-30,False,Q3,2016,10-Q,799106000.0,179306000.0,94338000.0,0.42,0.42,0.0,13293462000.0,2594534000.0,1034341000.0,761989000.0,8504103000.0,703304000.0,-401558000.0,-552537000.0
APOG,2016-11-26,False,Q3,2017,10-Q,274072000.0,33259000.0,22552000.0,0.78,0.78,0.0,717245000.0,365491000.0,188394000.0,51599000.0,452177000.0,70481000.0,-59202000.0,-20488000.0
BBBY,2016-11-26,False,Q3,2016,10-Q,2955484000.0,211283000.0,126424000.0,0.86,0.85,0.125,7232801000.0,4270122000.0,2507391000.0,473006000.0,2614983000.0,742695000.0,-393991000.0,-391156000.0
EMMS,2016-11-30,False,Q3,2017,10-Q,56299000.0,23835000.0,17676000.0,1.46,1.43,0.0,302067000.0,52077000.0,37519000.0,2057000.0,4658000.0,9702000.0,22377000.0,-34478000.0
AZZ,2016-11-30,False,Q3,2017,10-Q,227459000.0,28784000.0,18251000.0,0.7,0.7,0.0,1017675000.0,337284000.0,156540000.0,13479000.0,519304000.0,57275000.0,-51271000.0,-32346000.0
