symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
APT,2016-12-31,False,FY,2016,10-K,46176000.0,3672000.0,3168000.0,0.19,0.19,0.0,35936000.0,29663000.0,2465000.0,9456000.0,32664000.0,6833000.0,-308000.0,-6750000.0
LODE,2016-12-31,False,FY,2016,10-K,5070217.0,-10213344.0,-12964704.0,-0.07,-0.07,0.0,33843031.0,7964371.0,2424154.0,184359.0,14416589.0,-2597933.0,2561535.0,-1442413.0
CVU,2016-12-31,False,FY,2016,10-K,81329858.0,-4295272.0,-3608576.0,0.42,0.42,0.0,117791895.0,111288206.0,40692721.0,1039586.0,67605706.0,-6600802.0,-136320.0,6774685.0
EVBN,2016-12-31,False,FY,2016,10-K,51207000.0,,8272000.0,1.93,1.9,0.76,1100709000.0,,,12503000.0,96748000.0,11540000.0,-172845000.0,151768000.0
PARR,2016-12-31,False,FY,2016,10-K,1865045000.0,-16494000.0,-45835000.0,-1.08,-1.08,0.0,1145433000.0,403108000.0,382765000.0,47772000.0,368909000.0,-23891000.0,-286243000.0,190118000.0
AAC,2016-12-31,False,FY,2016,10-K,279770000.0,-6961000.0,-589000.0,-0.03,-0.03,0.0,383884000.0,96479000.0,45342000.0,3964000.0,154788000.0,143000.0,-56454000.0,41525000.0
ABM,2017-01-31,False,Q1,2017,10-Q,1326700000.0,23800000.0,-56800000.0,-1.01,-1.0,0.17,2411900000.0,1059500000.0,741300000.0,42600000.0,907400000.0,-11100000.0,-29100000.0,27000000.0
A,2017-01-31,False,Q1,2017,10-Q,1067000000.0,206000000.0,168000000.0,0.52,0.52,0.132,7872000000.0,3635000000.0,1089000000.0,2241000000.0,4300000000.0,116000000.0,-101000000.0,-58000000.0
ALG,2016-12-31,False,FY,2016,10-K,844748000.0,67620000.0,40045000.0,3.5,3.46,0.36,552776000.0,327618000.0,78700000.0,16793000.0,387717000.0,75554000.0,-8656000.0,-77117000.0
ARA,2016-12-31,False,FY,2016,10-K,756329000.0,126807000.0,-7789000.0,-0.28,-0.28,1.3,986024000.0,210380000.0,153790000.0,100916000.0,145663000.0,172211000.0,-65939000.0,-96344000.0
AVD,2016-12-31,False,FY,2016,10-K,312113000.0,20540000.0,12788000.0,0.44,0.44,0.03,429956000.0,227075000.0,97074000.0,7869000.0,282357000.0,46406000.0,-14137000.0,-28545000.0
ACRE,2016-12-31,False,FY,2016,10-K,45107000.0,,40336000.0,1.42,1.41,1.04,1373703000.0,,,47270000.0,429673000.0,8538000.0,-43320000.0,73057000.0
BPI,2016-12-31,False,FY,2016,10-K,527090000.0,-40221000.0,-30040000.0,-0.65,-0.65,0.0,463376000.0,431693000.0,152532000.0,307802000.0,280706000.0,11083000.0,14741000.0,-319000.0
CDI,2016-12-31,False,FY,2016,10-K,864367000.0,-30483000.0,-31573000.0,-1.66,-1.66,0.0,289292000.0,196368000.0,80870000.0,3165000.0,188976000.0,13493000.0,-3805000.0,-23346000.0
CHS,2017-01-28,False,FY,2016,10-K,2476410000.0,140702000.0,89314000.0,0.69,0.69,0.32,1108994000.0,477626000.0,302860000.0,142135000.0,609173000.0,230710000.0,-31828000.0,-146669000.0
CIEN,2017-01-31,False,Q1,2017,10-Q,621497000.0,19104000.0,3861000.0,0.03,0.03,0.0,2860094000.0,1998052000.0,841561000.0,693853000.0,798893000.0,-26250000.0,-20163000.0,-37193000.0
CINR,2016-12-31,False,FY,2016,10-K,475200000.0,89900000.0,41400000.0,2.08,2.08,0.0,413100000.0,136000000.0,55500000.0,19700000.0,259200000.0,128300000.0,-25300000.0,-103700000.0
CUBI,2016-12-31,False,FY,2016,10-K,345704000.0,,69187000.0,2.51,2.31,0.0,9382736000.0,,,17485000.0,855872000.0,11271000.0,-230868000.0,219471000.0
DEL,2016-12-31,False,FY,2016,10-K,219363000.0,21640000.0,9128000.0,0.76,0.76,0.4,554693000.0,30002000.0,19822000.0,5773000.0,251193000.0,43593000.0,-41310000.0,-1939000.0
DPLO,2016-12-31,False,FY,2016,10-K,4410388000.0,47077000.0,28273000.0,0.43,0.42,0.0,1107947000.0,519810000.0,385346000.0,7953000.0,613724000.0,31326000.0,-85967000.0,34994000.0
DCI,2017-01-31,False,Q2,2017,10-Q,550600000.0,69400000.0,46500000.0,0.35,0.35,0.175,1817700000.0,1025200000.0,615500000.0,296300000.0,780700000.0,164300000.0,-35900000.0,-71500000.0
EV,2017-01-31,False,Q1,2017,10-Q,354959000.0,105436000.0,60711000.0,0.55,0.53,0.28,1758604000.0,,,320113000.0,743822000.0,-39072000.0,-50381000.0,-15658000.0
KODK,2016-12-31,False,FY,2016,10-K,1543000000.0,140000000.0,15000000.0,0.28,0.28,0.0,1776000000.0,1120000000.0,425000000.0,433000000.0,-73000000.0,-13000000.0,-21000000.0,-72000000.0
ERA,2016-12-31,False,FY,2016,10-K,247228000.0,-3369000.0,-7978000.0,-0.39,-0.39,0.0,955173000.0,96370000.0,25623000.0,26950000.0,468417000.0,58504000.0,-12774000.0,-32986000.0
GBL,2016-12-31,False,FY,2016,10-K,353000000.0,191796000.0,117121000.0,4.01,3.92,0.08,149229000.0,,,39812000.0,-166647000.0,115737000.0,-1435000.0,-88247000.0
BRSS,2016-12-31,False,FY,2016,10-K,1338500000.0,98800000.0,32200000.0,1.5,1.49,0.15,582600000.0,409600000.0,139900000.0,88200000.0,95200000.0,95300000.0,-34300000.0,-55800000.0
GTT,2016-12-31,False,FY,2016,10-K,521688000.0,40825000.0,5260000.0,0.14,0.14,0.0,953261000.0,118785000.0,95791000.0,29748000.0,127759000.0,60543000.0,-362601000.0,318611000.0
HRB,2017-01-31,False,Q3,2017,10-Q,451882000.0,,-104514000.0,-0.5,-0.5,0.22,2577631000.0,1202834000.0,554637000.0,221172000.0,-800816000.0,-1375917000.0,64742000.0,638457000.0
HOV,2017-01-31,False,Q1,2017,10-Q,552009000.0,,-143000.0,0.0,0.0,0.0,2145296000.0,,,201780000.0,-128280000.0,25916000.0,-15525000.0,-155376000.0
NAV,2017-01-31,False,Q1,2017,10-Q,1663000000.0,,-62000000.0,-0.76,-0.76,0.0,5394000000.0,3449000000.0,2766000000.0,573000000.0,-5329000000.0,22000000.0,-207000000.0,-53000000.0
NCS,2017-01-29,False,Q1,2017,10-Q,391703000.0,9886000.0,2031000.0,0.03,0.03,0.0,979410000.0,440153000.0,261435000.0,15789000.0,283096000.0,-31878000.0,-4120000.0,-13702000.0
NX,2017-01-31,False,Q1,2017,10-Q,195096000.0,-3841000.0,-3726000.0,-0.11,-0.11,0.04,750320000.0,176932000.0,88925000.0,14074000.0,368281000.0,2037000.0,-16248000.0,2794000.0
BFS,2016-12-31,False,FY,2016,10-K,217070000.0,55713000.0,32904000.0,1.53,1.52,0.51,1343025000.0,,,8322000.0,373249000.0,89090000.0,-86274000.0,-4497000.0
TGT,2017-01-28,False,FY,2016,10-K,69495000000.0,,2737000000.0,4.74,4.7,2.36,37431000000.0,11990000000.0,12708000000.0,2512000000.0,10953000000.0,5436000000.0,-1473000000.0,-5497000000.0
TOL,2017-01-31,False,Q1,2017,10-Q,920730000.0,50633000.0,70416000.0,0.43,0.42,0.0,9516800000.0,,,373469000.0,4321024000.0,41964000.0,-156607000.0,-145603000.0
TTC,2017-02-03,False,Q1,2017,10-Q,515839000.0,60570000.0,44990000.0,0.41,0.41,0.0,1402913000.0,781316000.0,519124000.0,158893000.0,513036000.0,4900000.0,-35600000.0,-96286000.0
RIG,2016-12-31,False,FY,2016,10-K,4161000000.0,1132000000.0,764000000.0,2.08,2.08,0.0,26889000000.0,5098000000.0,1985000000.0,3052000000.0,15805000000.0,1911000000.0,-1313000000.0,115000000.0
UMH,2016-12-31,False,FY,2016,10-K,99213829.0,,-2568873.0,0.42,0.42,0.18,680444818.0,,,4216592.0,317031967.0,29353412.0,-77567390.0,45894673.0
VAL,2017-01-27,False,Q1,2017,10-Q,907652000.0,74591000.0,40747000.0,0.51,0.5,0.37,4158109000.0,1504022000.0,1179778000.0,153680000.0,1068361000.0,-17149000.0,-33562000.0,37444000.0
WLKP,2016-12-31,False,FY,2016,10-K,986736000.0,366444000.0,40940000.0,3.0,3.0,0.0,1555228000.0,232165000.0,37777000.0,88900000.0,200000.0,287726000.0,-299481000.0,-68904000.0
WG,2016-12-31,False,FY,2016,10-K,731685000.0,-30661000.0,1222000.0,-0.77,-0.77,0.0,363036000.0,194166000.0,104843000.0,41420000.0,135137000.0,-19611000.0,10843000.0,-8615000.0
YUMC,2016-12-31,False,FY,2016,10-K,6752000000.0,640000000.0,502000000.0,1.36,1.36,0.0,3727000000.0,1426000000.0,1004000000.0,885000000.0,2443000000.0,864000000.0,-471000000.0,95000000.0
ADVM,2016-12-31,False,FY,2016,10-K,7099000.0,-115284000.0,-113747000.0,-3.14,-3.14,0.0,234583000.0,225274000.0,9896000.0,222170000.0,215600000.0,-38366000.0,38775000.0,556000.0
AVAV,2017-01-28,False,Q3,2017,10-Q,53163000.0,-1425000.0,-2183000.0,-0.09,-0.09,0.0,387456000.0,308948000.0,37968000.0,73278000.0,347246000.0,-14424000.0,-36949000.0,364000.0
