symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
AAMC,2016-12-31,False,FY,2016,10-K,19991000.0,,-5142000.0,-2.93,-2.93,0.0,65748000.0,,,40584000.0,-192279000.0,-192000.0,-132290000.0,-11478000.0
CIX,2016-12-31,False,FY,2016,10-K,108920000.0,15574000.0,10457000.0,0.84,0.84,0.05,143980000.0,59175000.0,13323000.0,33153000.0,125770000.0,13864000.0,-30575000.0,-2483000.0
GORO,2016-12-31,False,FY,2016,10-K,83227000.0,8586000.0,4387000.0,0.08,0.08,0.0,118461000.0,29280000.0,8960000.0,14166000.0,107076000.0,17899000.0,-14693000.0,-1885000.0
AUMN,2016-12-31,False,FY,2016,10-K,6400000.0,-6321000.0,-10659000.0,-0.13,-0.13,0.0,14008000.0,4773000.0,1248000.0,2588000.0,8362000.0,-6205000.0,1117000.0,3599000.0
GTE,2016-12-31,False,FY,2016,10-K,289269000.0,,-465565000.0,-1.45,-1.45,0.0,1367896000.0,131685000.0,155029000.0,25175000.0,858987000.0,93042000.0,-620615000.0,407052000.0
RWC,2016-12-31,False,FY,2016,10-K,50689000.0,4285000.0,2689000.0,0.2,0.19,0.0,42544000.0,29767000.0,6362000.0,10910000.0,35774000.0,10721000.0,-1875000.0,-2605000.0
TXMD,2016-12-31,False,FY,2016,10-K,19356450.0,-90253600.0,-89875459.0,-0.46,-0.46,0.0,142472020.0,139410173.0,14982599.0,131534101.0,127489421.0,-69142333.0,-1255456.0,137225535.0
TMP,2016-12-31,False,FY,2016,10-K,271547000.0,,58428000.0,3.94,3.91,1.77,6236756000.0,,,62074000.0,549405000.0,44396000.0,24000.0,-21781000.0
DDD,2016-12-31,False,FY,2016,10-K,632965000.0,-38420000.0,-38419000.0,-0.35,-0.35,0.0,849153000.0,432950000.0,130405000.0,184947000.0,626700000.0,56902000.0,-21882000.0,-3926000.0
AAP,2016-12-31,False,FY,2016,10-K,9567679000.0,787598000.0,459622000.0,6.22,6.2,0.24,8315033000.0,5172764000.0,3676046000.0,135178000.0,2916192000.0,500874000.0,-262044000.0,-194691000.0
AJRD,2016-12-31,False,FY,2016,10-K,1761300000.0,61200000.0,17600000.0,0.27,0.27,0.0,2249500000.0,854700000.0,583700000.0,410300000.0,34500000.0,158400000.0,-47100000.0,90500000.0
MITT,2016-12-31,False,FY,2016,10-K,,,50213355.0,1.8,1.8,0.0,2628644566.0,,,52469891.0,655876390.0,66924253.0,540646658.0,-601354311.0
AGCO,2016-12-31,False,FY,2016,10-K,7410500000.0,288400000.0,160100000.0,1.97,1.96,0.52,7168400000.0,3165700000.0,2144900000.0,429700000.0,2837200000.0,369500000.0,-598300000.0,236400000.0
AIN,2016-12-31,False,FY,2016,10-K,779839000.0,91776000.0,52733000.0,1.64,1.64,0.68,1263433000.0,501305000.0,200009000.0,181742000.0,511290000.0,79518000.0,-253553000.0,173460000.0
ALK,2016-12-31,False,FY,2016,10-K,5931000000.0,1349000000.0,814000000.0,6.59,6.54,1.1,9962000000.0,2050000000.0,2535000000.0,328000000.0,2931000000.0,1386000000.0,-2622000000.0,1491000000.0
ALEX,2016-12-31,False,FY,2016,10-K,387500000.0,41600000.0,-10200000.0,-0.18,-0.18,0.25,2156300000.0,138300000.0,165100000.0,2200000.0,1213200000.0,111200000.0,-25600000.0,-84700000.0
ALB,2016-12-31,False,FY,2016,10-K,2677203000.0,574551000.0,643675000.0,5.73,5.68,1.22,8161207000.0,3306618000.0,1140103000.0,2269756000.0,3942604000.0,733403000.0,2920488000.0,-1577903000.0
AAMC,2016-12-31,False,FY,2016,10-K,56758000.0,,-228028000.0,-4.18,-4.18,0.75,2284847000.0,,,106276000.0,863068000.0,-113133000.0,565147000.0,-462440000.0
