symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
VII,2016-09-30,False,FY,2016,10-K,35759651.0,-13488156.0,-12773984.0,-1.37,-1.37,0.0,18077709.0,15689161.0,6201020.0,1954422.0,8526914.0,-3730807.0,1312136.0,1755184.0
AEHR,2016-11-30,False,Q2,2017,10-Q,4216000.0,-1284000.0,-1452000.0,-0.09,-0.09,0.0,13930000.0,13042000.0,4191000.0,5154000.0,3641000.0,-1416000.0,-88000.0,5762000.0
AEPI,2016-10-31,False,FY,2016,10-K,1095830000.0,66507000.0,28802000.0,5.64,5.6,1.0,392631000.0,201860000.0,114876000.0,3676000.0,113292000.0,84374000.0,-15913000.0,-84773000.0
BMRA,2016-11-30,False,Q2,2017,10-Q,1432206.0,-219536.0,-202887.0,-0.02,-0.02,0.0,5585427.0,4772040.0,566516.0,1611148.0,5018911.0,-307891.0,-25682.0,56556.0
BRID,2016-10-28,False,FY,2016,10-K,140063000.0,,7770000.0,0.86,0.86,0.0,87254000.0,48585000.0,12222000.0,6985000.0,38909000.0,4527000.0,-3241000.0,-143000.0
CBAK,2016-09-30,False,FY,2016,10-K,10369444.0,-12122687.0,-12652194.0,-0.71,-0.71,0.0,93311685.0,32344090.0,47583295.0,1953295.0,15089996.0,-13887336.0,-9114216.0,18511360.0
CSPI,2016-09-30,False,FY,2016,10-K,103367000.0,3801000.0,2604000.0,0.69,0.67,0.44,48707000.0,41817000.0,17383000.0,13103000.0,17655000.0,5004000.0,-896000.0,-1407000.0
