symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
MCZ,2016-12-31,False,Q3,2017,10-Q,19061000.0,-3038000.0,-3461000.0,-0.05,-0.05,0.0,41788000.0,29899000.0,40875000.0,1603000.0,-2674000.0,-5109000.0,9954000.0,-5551000.0
MJCO,2016-12-31,False,Q3,2017,10-Q,30012000.0,192000.0,209000.0,0.01,0.01,0.0,99271000.0,50050000.0,38961000.0,17997000.0,45822000.0,13192000.0,-3382000.0,3347000.0
APU,2016-12-31,False,Q1,2017,10-Q,677166000.0,167631000.0,91954000.0,0.87,0.87,0.0,4199780000.0,505575000.0,542400000.0,9253000.0,,33043000.0,-24389000.0,-15228000.0
BDX,2016-12-31,False,Q1,2017,10-Q,2922000000.0,811000000.0,562000000.0,2.64,2.58,0.73,24318000000.0,5187000000.0,4570000000.0,919000000.0,7583000000.0,315000000.0,48000000.0,-955000000.0
BERY,2016-07-02,False,Q3,2016,10-Q,1645000000.0,179000000.0,96000000.0,0.79,0.76,0.0,7805000000.0,1766000000.0,1086000000.0,236000000.0,155000000.0,567000000.0,-2518000000.0,1959000000.0
EAT,2016-12-28,False,Q2,2017,10-Q,771043000.0,61526000.0,34637000.0,0.7,0.69,0.34,1498105000.0,224268000.0,469804000.0,34058000.0,-530586000.0,141136000.0,-57033000.0,-81491000.0
BGG,2017-01-01,False,Q2,2017,10-Q,428236000.0,25385000.0,15251000.0,0.35,0.35,0.14,1543310000.0,835106000.0,445802000.0,47327000.0,474113000.0,-128312000.0,-26811000.0,114338000.0
BRS,2016-12-31,False,Q3,2017,10-Q,337443000.0,,-21927000.0,-0.62,-0.62,0.07,3131109000.0,501706000.0,533893000.0,71159000.0,1373034000.0,-14860000.0,-105092000.0,92743000.0
CACI,2016-12-31,False,Q2,2017,10-Q,1057530000.0,80255000.0,42420000.0,1.74,1.69,0.0,3897165000.0,860050000.0,498934000.0,72650000.0,1695959000.0,135350000.0,-8080000.0,-102104000.0
CBM,2016-12-31,False,FY,2016,10-K,490644000.0,128353000.0,81678000.0,2.55,2.48,0.0,611865000.0,322655000.0,95462000.0,74141000.0,405427000.0,123278000.0,-73976000.0,-17296000.0
CRS,2016-12-31,False,Q2,2017,10-Q,427400000.0,15400000.0,7000000.0,0.15,0.15,0.18,2777400000.0,1026200000.0,312100000.0,22500000.0,1130300000.0,-25800000.0,-45100000.0,10100000.0
CLX,2016-12-31,False,Q2,2017,10-Q,1406000000.0,,149000000.0,1.16,1.14,0.8,4568000000.0,1549000000.0,2037000000.0,414000000.0,270000000.0,270000000.0,-114000000.0,-139000000.0
CMCSA,2016-12-31,False,FY,2016,10-K,80403000000.0,16859000000.0,8695000000.0,3.61,3.57,1.1,180500000000.0,16361000000.0,21535000000.0,3301000000.0,56174000000.0,19240000000.0,-18385000000.0,151000000.0
